Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
86	6	"(3)<helper.Child1: void <init>()>""(3)<helper.Child1: void <init>()>"	145helper.Child1.<init>()V:-1:-1:-1:-1	8helper.Child1.Child1():-1:-1:-1:-1	helper.Child1:<init>()helper.Child1.<init>()	8helper.Child1.<init>()V:3	55helper.Child1.<init>():void:Polimorph.java:-1:-1:-1:-1	95
87	5	"<java.lang.String: void <init>(java.lang.String)>""<java.lang.String: void <init>(java.lang.String)>"	x	82java.lang.String.String(java.lang.String):-1:-1:-1:-1	java.lang.String:<init>(java.lang.String)java.lang.String.<init>(java.lang.String)	115java.lang.String.<init>(Ljava/lang/String;)V:151	93java.lang.String.<init>(java.lang.String):void::-1:-1:-1:-1	93
88	5	"<java.lang.String: java.lang.String toLowerCase()>""<java.lang.String: java.lang.String toLowerCase()>"	x	83java.lang.String.toLowerCase():-1:-1:-1:-1	java.lang.String:toLowerCase()java.lang.String.toLowerCase()	116java.lang.String.toLowerCase()Ljava/lang/String;:2670	92java.lang.String.toLowerCase():java.lang.String::-1:-1:-1:-1	93
20	6	"(10)<java8.MethodReference: java.lang.String print(java.lang.String)>""(10)<java8.MethodReference: java.lang.String print(java.lang.String)>"	518java8.MethodReference.print(Ljava/lang/String;)Ljava/lang/String;:9:2:12:3	88java8.MethodReference.print(java.lang.String):9:23:12:2	(10)java8.MethodReference:print(java.lang.String)java8.MethodReference.print(java.lang.String)	109java8.MethodReference.print(Ljava/lang/String;)Ljava/lang/String;:10	96java8.MethodReference.print(java.lang.String):java.lang.String:MethodReference.java:9:1:12:2	95
21	6	"(15)<java8.MethodReference: void privatePrint()>""(15)<java8.MethodReference: void privatePrint()>"	520java8.MethodReference.privatePrint()V:14:2:16:3	89java8.MethodReference.privatePrint():14:21:16:2	(15)java8.MethodReference:privatePrint()java8.MethodReference.privatePrint()	23java8.MethodReference.privatePrint()V:15	97java8.MethodReference.privatePrint():void:MethodReference.java:14:1:16:2	95
89	5	"<java.util.ArrayList: void <init>()>""<java.util.ArrayList: void <init>()>"	x	87java.util.ArrayList.ArrayList():-1:-1:-1:-1	java.util.ArrayList:<init>()java.util.ArrayList.<init>()	104java.util.ArrayList.<init>()V:164	95java.util.ArrayList<java.lang.String>.<init>():void::-1:-1:-1:-1	93
151	4	x	521java.util.List.add(Ljava/lang/Object;)Z:-1:-1:-1:-1	90java.util.List.add(java.lang.Object):-1:-1:-1:-1	java.util.List:add(java.lang.Object)java.util.List.add(java.lang.Object)	x	98java.util.List<java.lang.String>.add(java.lang.String):boolean::-1:-1:-1:-1	78
156	1	x	x	x	java.util.function.Consumer:accept()java.util.function.Consumer.accept()	x	x	8
157	1	x	x	x	java.util.List:forEach(java.util.function.Consumer)java.util.List.forEach(java.util.function.Consumer)	x	x	8
108	5	"(2)<CallGraphTest: void <init>()>""(2)<CallGraphTest: void <init>()>"	204CallGraphTest.<init>()V:-1:-1:-1:-1	122CallGraphTest.CallGraphTest():-1:-1:-1:-1	(2)CallGraphTest:<init>().CallGraphTest.<init>()	92CallGraphTest.<init>()V:2	x	31
