Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1610)java.lang.StringBuilder.append(java.lang.String)	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1611)java.lang.StringBuilder.toString()	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1982)org.joda.time.convert.ConverterSet.remove(int,org.joda.time.convert.Converter[])	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1984)java.lang.Class.isAssignableFrom(java.lang.Class)	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1985)java.lang.StringBuilder.append(char)	6	X	X	X	X	X	X	95
(60)org.joda.time.convert.ConverterSet.selectSlow(org.joda.time.convert.ConverterSet,java.lang.Class)->(1986)java.lang.IllegalStateException.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(61)org.joda.time.convert.ConverterSet.copyInto(org.joda.time.convert.Converter[])->(63)java.lang.System.arraycopy(java.lang.Object,int,java.lang.Object,int,int)	6	X	X	X	X	X	X	95
(64)org.joda.time.convert.ConverterSet.add(org.joda.time.convert.Converter,org.joda.time.convert.Converter[])->(63)java.lang.System.arraycopy(java.lang.Object,int,java.lang.Object,int,int)	6	X	X	X	X	X	X	95
(64)org.joda.time.convert.ConverterSet.add(org.joda.time.convert.Converter,org.joda.time.convert.Converter[])->(1825)java.lang.Object.equals(java.lang.Object)	5	X	X	X	X		X	79
(64)org.joda.time.convert.ConverterSet.add(org.joda.time.convert.Converter,org.joda.time.convert.Converter[])->(1904)org.joda.time.convert.ConverterSet.<init>(org.joda.time.convert.Converter[])	6	X	X	X	X	X	X	95
(66)org.joda.time.convert.NullConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(22)org.joda.time.DateTimeUtils.currentTimeMillis()	6	X	X	X	X	X	X	95
(68)org.joda.time.convert.AbstractConverter.getInstantMillis(java.lang.Object,org.joda.time.Chronology)->(22)org.joda.time.DateTimeUtils.currentTimeMillis()	6	X	X	X	X	X	X	95
(69)org.joda.time.convert.AbstractConverter.getChronology(java.lang.Object,org.joda.time.DateTimeZone)->(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)	5	X	X	X	X		X	79
(70)org.joda.time.convert.AbstractConverter.getChronology(java.lang.Object,org.joda.time.Chronology)->(30)org.joda.time.DateTimeUtils.getChronology(org.joda.time.Chronology)	5	X	X	X	X		X	79
(71)org.joda.time.convert.AbstractConverter.getPeriodType(java.lang.Object)->(8)org.joda.time.PeriodType.standard()	6	X	X	X	X	X	X	95
(72)org.joda.time.convert.ReadableInstantConverter.getChronology(java.lang.Object,org.joda.time.DateTimeZone)->(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)	5	X	X	X	X		X	79
(73)org.joda.time.convert.ReadableInstantConverter.getChronology(java.lang.Object,org.joda.time.Chronology)->(30)org.joda.time.DateTimeUtils.getChronology(org.joda.time.Chronology)	5	X	X	X	X		X	79
(75)org.joda.time.convert.StringConverter.getInstantMillis(java.lang.Object,org.joda.time.Chronology)->(10)org.joda.time.format.ISODateTimeFormat.dateTimeParser()	6	X	X	X	X	X	X	95
(75)org.joda.time.convert.StringConverter.getInstantMillis(java.lang.Object,org.joda.time.Chronology)->(2012)org.joda.time.format.DateTimeFormatter.withChronology(org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(75)org.joda.time.convert.StringConverter.getInstantMillis(java.lang.Object,org.joda.time.Chronology)->(2013)org.joda.time.format.DateTimeFormatter.parseMillis(java.lang.String)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(80)java.lang.Long.parseLong(java.lang.String)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(81)java.lang.Integer.parseInt(java.lang.String)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1607)java.lang.String.substring(int,int)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1608)java.lang.String.substring(int)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1609)java.lang.StringBuilder.<init>()	3	X			X	X		25
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1610)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1611)java.lang.StringBuilder.toString()	3	X			X	X		25
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1612)java.lang.IllegalArgumentException.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1613)java.lang.String.length()	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1614)java.lang.String.charAt(int)	6	X	X	X	X	X	X	95
(76)org.joda.time.convert.StringConverter.getDurationMillis(java.lang.Object)->(1985)java.lang.StringBuilder.append(char)	3	X			X	X		25
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(9)org.joda.time.format.ISOPeriodFormat.standard()	6	X	X	X	X	X	X	95
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1458)org.joda.time.format.PeriodFormatter.parseMutablePeriod(java.lang.String)	6	X	X	X	X	X	X	95
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1609)java.lang.StringBuilder.<init>()	3	X			X	X		25
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1610)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1611)java.lang.StringBuilder.toString()	3	X			X	X		25
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1612)java.lang.IllegalArgumentException.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1613)java.lang.String.length()	5	X	X	X	X		X	79
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1616)org.joda.time.format.PeriodFormatter.withParseType(org.joda.time.PeriodType)	6	X	X	X	X	X	X	95
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(1985)java.lang.StringBuilder.append(char)	3	X			X	X		25
(83)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology)->(2017)org.joda.time.format.PeriodFormatter.parseInto(org.joda.time.ReadWritablePeriod,java.lang.String,int)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(9)org.joda.time.format.ISOPeriodFormat.standard()	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(10)org.joda.time.format.ISODateTimeFormat.dateTimeParser()	6	X	X	X	X	X	X	95
