Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(1469)org.argouml.ui.LookAndFeelMgr.getThemeClassNameFromArg(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5465)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5466)org.argouml.persistence.PersistenceManager.fixExtension(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5467)java.io.File.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5567)java.lang.String.startsWith(java.lang.String)	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5569)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5570)java.lang.StringBuilder.<init>()	3	X			X	X		25
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5571)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5572)java.lang.StringBuilder.toString()	3	X			X	X		25
(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])->(5949)java.lang.String.equalsIgnoreCase(java.lang.String)	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(82)org.argouml.application.api.Argo.getDirectory()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(98)org.argouml.application.Main.setSystemProperties()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(99)org.argouml.util.Tools.logVersionInfo()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(100)org.argouml.application.Main.initTranslator()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(101)org.argouml.application.Main.initVersion()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(102)org.argouml.configuration.Configuration.load()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(103)org.argouml.application.Main.checkHostsFile()	6	X	X	X	X	X	X	95
(20)org.argouml.application.Main.initPreinitialize()->(104)org.argouml.application.Main.checkJVMVersion()	6	X	X	X	X	X	X	95
(44)org.argouml.application.ArgoVersion.init()->(46)org.argouml.application.helpers.ApplicationVersion.init(java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(47)org.argouml.application.PostLoad.run()->(5564)java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Object)	6	X	X	X	X	X	X	95
(49)org.argouml.application.Main$1.i18nlocalize(java.lang.String)->(51)org.argouml.i18n.Translator.localize(java.lang.String)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(107)org.argouml.i18n.Translator.init(java.lang.String)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(1912)org.argouml.i18n.Translator.loadBundle(java.lang.String)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(1917)org.argouml.i18n.Translator.getName(java.lang.String)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(5564)java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Object)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(6001)java.lang.IllegalArgumentException.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(51)org.argouml.i18n.Translator.localize(java.lang.String)->(11172)java.util.ResourceBundle.getString(java.lang.String)	6	X	X	X	X	X	X	95
(52)org.argouml.application.Main$1.i18nmessageFormat(java.lang.String,java.lang.Object[])->(53)org.argouml.i18n.Translator.messageFormat(java.lang.String,java.lang.Object[])	6	X	X	X	X	X	X	95
(53)org.argouml.i18n.Translator.messageFormat(java.lang.String,java.lang.Object[])->(51)org.argouml.i18n.Translator.localize(java.lang.String)	6	X	X	X	X	X	X	95
(53)org.argouml.i18n.Translator.messageFormat(java.lang.String,java.lang.Object[])->(11173)java.text.MessageFormat.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(58)org.argouml.kernel.ProjectManager.getManager()	6	X	X	X	X	X	X	95
