Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2209)java.util.ArrayList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2222)automata.Automaton.getTransitionsFromState(automata.State)	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2527)automata.fsa.FSATransition.getLabel()	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2536)java.lang.String.indexOf(java.lang.String)	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2539)java.lang.String.startsWith(java.lang.String)	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2545)automata.fsa.FSAConfiguration.<init>(automata.State,automata.fsa.FSAConfiguration,java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2546)automata.fsa.FSAConfiguration.getUnprocessedInput()	5	X	X	X	X		X	79
(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)->(2547)automata.fsa.FSAConfiguration.getInput()	5	X	X	X	X		X	79
(51)debug.EDebug.print(java.lang.Object)->(1906)debug.EDebug.getFileName()	6	X	X	X	X	X	X	95
(51)debug.EDebug.print(java.lang.Object)->(1909)debug.EDebug.getClassName()	6	X	X	X	X	X	X	95
(51)debug.EDebug.print(java.lang.Object)->(1910)debug.EDebug.getMethodName()	6	X	X	X	X	X	X	95
(51)debug.EDebug.print(java.lang.Object)->(1911)debug.EDebug.getLineNumber()	6	X	X	X	X	X	X	95
(51)debug.EDebug.print(java.lang.Object)->(2307)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(53)automata.fsa.FSAStepByStateSimulator.simulateInput(java.lang.String)->(50)automata.fsa.FSAStepByStateSimulator.stepConfiguration(automata.Configuration)	6	X	X	X	X	X	X	95
