1914	5	"(43)<regular.RegularExpression: void <init>()>""(43)<regular.RegularExpression: void <init>()>"	11054regular.RegularExpression.<init>()V:42:2:44:3	x	(43)regular.RegularExpression:<init>()regular.RegularExpression.<init>()	847regular.RegularExpression.<init>()V:43	2763regular.RegularExpression.<init>():void:RegularExpression.java:39:1:44:2	91
8226	1	x	x	x	automata.fsa.FSAConfiguration:getCurrentState()automata.fsa.FSAConfiguration.getCurrentState()	x	x	8
2685	6	"(43)<automata.fsa.FiniteStateAutomaton: void <init>()>""(43)<automata.fsa.FiniteStateAutomaton: void <init>()>"	1032automata.fsa.FiniteStateAutomaton.<init>()V:42:2:44:3	166automata.fsa.FiniteStateAutomaton.FiniteStateAutomaton():42:9:44:2	(43)automata.fsa.FiniteStateAutomaton:<init>()automata.fsa.FiniteStateAutomaton.<init>()	791automata.fsa.FiniteStateAutomaton.<init>()V:43	365automata.fsa.FiniteStateAutomaton.<init>():void:FiniteStateAutomaton.java:39:1:44:2	95
71	6	"(77)<automata.fsa.NFAToDFA: automata.State createInitialState(automata.Automaton,automata.Automaton)>""(77)<automata.fsa.NFAToDFA: automata.State createInitialState(automata.Automaton,automata.Automaton)>"	1778automata.fsa.NFAToDFA.createInitialState(Lautomata/Automaton;Lautomata/Automaton;)Lautomata/State;:75:2:93:3	228automata.fsa.NFAToDFA.createInitialState(automata.Automaton,automata.Automaton):75:15:93:2	(77)automata.fsa.NFAToDFA:createInitialState(automata.Automaton,automata.Automaton)automata.fsa.NFAToDFA.createInitialState(automata.Automaton,automata.Automaton)	1835automata.fsa.NFAToDFA.createInitialState(Lautomata/Automaton;Lautomata/Automaton;)Lautomata/State;:77	368automata.fsa.NFAToDFA.createInitialState(automata.Automaton;automata.Automaton):automata.State:NFAToDFA.java:64:1:93:2	95
2728	6	"(107)<automata.fsa.NFAToDFA: boolean hasFinalState(automata.State[],automata.Automaton)>""(107)<automata.fsa.NFAToDFA: boolean hasFinalState(automata.State[],automata.Automaton)>"	1784automata.fsa.NFAToDFA.hasFinalState([Lautomata/State;Lautomata/Automaton;)Z:106:2:112:3	230automata.fsa.NFAToDFA.hasFinalState(automata.State[],automata.Automaton):106:17:112:2	(107)automata.fsa.NFAToDFA:hasFinalState(automata.State[],automata.Automaton)automata.fsa.NFAToDFA.hasFinalState(automata.State[],automata.Automaton)	1839automata.fsa.NFAToDFA.hasFinalState([Lautomata/State;Lautomata/Automaton;)Z:107	370automata.fsa.NFAToDFA.hasFinalState(automata.State[];automata.Automaton):boolean:NFAToDFA.java:95:1:112:2	95
2317	6	"(216)<automata.State: java.lang.String getLabel()>""(216)<automata.State: java.lang.String getLabel()>"	241automata.State.getLabel()Ljava/lang/String;:215:2:217:3	232automata.State.getLabel():-1:-1:-1:-1	automata.State:getLabel()automata.State.getLabel()	25automata.State.getLabel()Ljava/lang/String;:216	115automata.State.getLabel():java.lang.String:State.java:209:1:217:2	95
31	6	"<java.util.Arrays: void sort(java.lang.Object[],java.util.Comparator)>""<java.util.Arrays: void sort(java.lang.Object[],java.util.Comparator)>"	464java.util.Arrays.sort([Ljava/lang/Object;Ljava/util/Comparator;)V:-1:-1:-1:-1	242java.util.Arrays.sort(java.lang.Object[],java.util.Comparator):-1:-1:-1:-1	java.util.Arrays:sort(java.lang.Object[],java.util.Comparator)java.util.Arrays.sort(java.lang.Object[],java.util.Comparator)	76java.util.Arrays.sort([Ljava/lang/Object;Ljava/util/Comparator;)V:1432	4059java.util.Arrays.sort(grammar.Production[];java.util.Comparator<?supergrammar.Production>):void:UnitPane.java:-1:-1:-1:-1	95
2732	6	"(254)<automata.fsa.NFAToDFA: automata.State getStateForStates(automata.State[],automata.Automaton,automata.Automaton)>""(254)<automata.fsa.NFAToDFA: automata.State getStateForStates(automata.State[],automata.Automaton,automata.Automaton)>"	1834automata.fsa.NFAToDFA.getStateForStates([Lautomata/State;Lautomata/Automaton;Lautomata/Automaton;)Lautomata/State;:253:2:262:3	246automata.fsa.NFAToDFA.getStateForStates(automata.State[],automata.Automaton,automata.Automaton):253:15:262:2	(254)automata.fsa.NFAToDFA:getStateForStates(automata.State[],automata.Automaton,automata.Automaton)automata.fsa.NFAToDFA.getStateForStates(automata.State[],automata.Automaton,automata.Automaton)	1842automata.fsa.NFAToDFA.getStateForStates([Lautomata/State;Lautomata/Automaton;Lautomata/Automaton;)Lautomata/State;:254	382automata.fsa.NFAToDFA.getStateForStates(automata.State[];automata.Automaton;automata.Automaton):automata.State:NFAToDFA.java:244:1:262:2	95
2693	6	"(39)<automata.fsa.FSAAlphabetRetriever: void <init>()>""(39)<automata.fsa.FSAAlphabetRetriever: void <init>()>"	1044automata.fsa.FSAAlphabetRetriever.<init>()V:39:2:41:3	8automata.fsa.FSAAlphabetRetriever.FSAAlphabetRetriever():39:9:41:2	automata.fsa.FSAAlphabetRetriever:<init>()automata.fsa.FSAAlphabetRetriever.<init>()	1425automata.fsa.FSAAlphabetRetriever.<init>()V:39	384automata.fsa.FSAAlphabetRetriever.<init>():void:FSAAlphabetRetriever.java:36:1:41:2	95
2687	6	"(70)<automata.fsa.FSATransition: automata.Transition copy(automata.State,automata.State)>""(70)<automata.fsa.FSATransition: automata.Transition copy(automata.State,automata.State)>"	1489automata.fsa.FSATransition.copy(Lautomata/State;Lautomata/State;)Lautomata/Transition;:69:2:71:3	159automata.fsa.FSATransition.copy(automata.State,automata.State):69:20:71:2	(70)automata.fsa.FSATransition:copy(automata.State,automata.State)automata.fsa.FSATransition.copy(automata.State,automata.State)	2464automata.fsa.FSATransition.copy(Lautomata/State;Lautomata/State;)Lautomata/Transition;:70	478automata.fsa.FSATransition.copy(automata.State;automata.State):automata.Transition:FSATransition.java:60:1:71:2	95
2692	6	"(120)<automata.fsa.Minimizer: java.lang.String getTerminalToSplit(automata.State[],automata.Automaton,javax.swing.tree.DefaultTreeModel)>""(120)<automata.fsa.Minimizer: java.lang.String getTerminalToSplit(automata.State[],automata.Automaton,javax.swing.tree.DefaultTreeModel)>"	1529automata.fsa.Minimizer.getTerminalToSplit([Lautomata/State;Lautomata/Automaton;Ljavax/swing/tree/DefaultTreeModel;)Ljava/lang/String;:118:2:128:3	180automata.fsa.Minimizer.getTerminalToSplit(automata.State[],automata.Automaton,javax.swing.tree.DefaultTreeModel):118:16:128:2	(120)automata.fsa.Minimizer:getTerminalToSplit(automata.State[],automata.Automaton,javax.swing.tree.DefaultTreeModel)automata.fsa.Minimizer.getTerminalToSplit(automata.State[],automata.Automaton,javax.swing.tree.DefaultTreeModel)	1554automata.fsa.Minimizer.getTerminalToSplit([Lautomata/State;Lautomata/Automaton;Ljavax/swing/tree/DefaultTreeModel;)Ljava/lang/String;:120	412automata.fsa.Minimizer.getTerminalToSplit(automata.State[];automata.Automaton;javax.swing.tree.DefaultTreeModel):java.lang.String:Minimizer.java:109:1:128:2	95
